category,video_count,percent
Other / Uncategorized,6774,53.2
Tech & Science,1136,8.9
Gaming,915,7.2
Sports,823,6.5
Education & How-To,686,5.4
Music,385,3.0
Automotive,344,2.7
News & Politics,324,2.5
Film & Animation,323,2.5
Food & Cooking,254,2.0
Finance & Business,252,2.0
Short-form & Social Media,210,1.7
Comedy & Entertainment,161,1.3
Vlogs & Lifestyle,140,1.1
